Timestamp,Card Name,Edition,Language,Condition,Extras,Stock,Price
2024-09-18 01:10:57,Bons Ventos Completado,Dominária Unida,Inglês,NM,-,1,"R$ 4,00"
2024-09-18 01:10:57,Bons Ventos Completado,Dominária Unida,Português,NM,"Foil, Pre Release",1,"R$ 9,50"
2024-09-18 01:10:58,Embarcar no Bons Ventos,Dominaria,Português,NM,-,2,"R$ 0,50"
2024-09-18 01:10:58,Embarcar no Bons Ventos,Dominaria,Inglês,NM,Foil,0,"R$ 1,00"
2024-09-18 01:10:58,"Raff, Defensor do Bons Ventos",Multiverse Legends,Português,NM,-,48,"R$ 0,10"
2024-09-18 01:10:58,"Raff, Defensor do Bons Ventos",Dominária Unida,Português,NM,-,30,"R$ 0,10"
2024-09-18 01:10:58,"Raff, Defensor do Bons Ventos",Dominária Unida (Stained Glass),Português,NM,-,26,"R$ 0,10"
2024-09-18 01:10:58,"Raff, Defensor do Bons Ventos",Multiverse Legends,Inglês,NM,Foil,4,"R$ 1,00"
2024-09-18 01:10:58,"Raff, Defensor do Bons Ventos",Dominária Unida,Português,NM,Foil,2,"R$ 0,50"
2024-09-18 01:10:58,"Raff, Defensor do Bons Ventos",Multiverse Legends,Português,NM,Foil,2,"R$ 1,00"
2024-09-18 01:10:58,"Raff, Defensor do Bons Ventos",Dominária Unida,Inglês,NM,-,1,"R$ 0,20"
2024-09-18 01:10:58,"Raff, Defensor do Bons Ventos",Dominária Unida,Inglês,NM,Foil,1,"R$ 0,50"
2024-09-18 01:10:58,"Raff, Defensor do Bons Ventos",Multiverse Legends,Inglês,NM,-,1,"R$ 1,00"
2024-09-18 01:10:58,"Raff, Defensor do Bons Ventos",Dominária Unida (Stained Glass),Português,NM,Foil,0,"R$ 6,00"
2024-09-18 01:10:58,"Raff, Defensor do Bons Ventos",Dominária Unida (Stained Glass),Inglês,NM,Foil,0,"R$ 1,00"
2024-09-18 01:10:58,"Raff, Defensor do Bons Ventos",Dominária Unida (Textured Foil),Idioma,Unknown,-,0,Preço
2024-09-18 01:10:58,"Raff, Defensor do Bons Ventos",Multiverse Legends (Halo Foil),Idioma,Unknown,-,0,Preço
2024-09-18 01:10:58,"Raff, Defensor do Bons Ventos",Multiverse Legends (Serialized),Idioma,Unknown,-,0,Preço
2024-09-18 01:10:58,"Raff, Defensor do Bons Ventos",Multiverse Legends (Foil Etched),Idioma,Unknown,-,0,Preço
2024-09-18 01:10:59,"Sisay, Capitã do Bons Ventos",Modern Horizons,Português,NM,-,1,"R$ 17,00"
2024-09-18 01:10:59,"Sisay, Capitã do Bons Ventos",Modern Horizons 2 (Moldura Antiga),Idioma,Unknown,-,0,Preço
2024-09-18 01:10:59,"Sisay, Capitã do Bons Ventos",Secret Lair Drop Series: Finally! Left-Handed Magic Cards,Idioma,Unknown,-,0,Preço
2024-09-18 01:10:59,"Sisay, Capitã do Bons Ventos",Secret Lair Commander: From Cute to Brute,Idioma,Unknown,-,0,Preço
2024-09-18 01:11:00,Botas Aladas,Os Fora da Lei de Encruzilhada do Trovão Commander,Inglês,NM,-,2,"R$ 14,60"
2024-09-18 01:11:00,Botas Aladas,Forgotten Realms Commander,Português,NM,-,0,"R$ 7,90"
2024-09-18 01:11:00,Botas Aladas,Forgotten Realms Commander (Variantes),Idioma,Unknown,-,0,Preço
2024-09-18 01:11:01,Botas da Velocidade,Adventures in the Forgotten Realms,Português,NM,-,38,"R$ 0,10"
2024-09-18 01:11:01,Botas da Velocidade,Adventures in the Forgotten Realms,Inglês,NM,-,1,"R$ 0,15"
2024-09-18 01:11:01,Broche de Lórien // Botas do Desbravador,O Senhor dos Anéis: Contos da Terra Média (Promo),Português,NM,"Foil, Buy A Box",3,"R$ 9,50"
2024-09-18 01:11:02,Felix Five-Boots,Os Fora da Lei de Encruzilhada do Trovão Commander,Inglês,NM,Foil,1,"R$ 14,00"
2024-09-18 01:11:02,Felix Five-Boots,Os Fora da Lei de Encruzilhada do Trovão Commander (Arte Estendida),Idioma,Unknown,-,0,Preço
2024-09-18 01:11:03,Nullrune Boots,"1HP
History Pack 1 (EN) (First Edition)",Inglês,NM,-,7,"R$ 3,90"
2024-09-18 01:11:03,Nullrune Boots,"U-ARC
Arcane Rising (Unlimited Edition)",Inglês,NM,-,0,"R$ 2,99"
2024-09-18 01:11:04,Board the Weatherlight,Dominaria,Português,NM,-,2,"R$ 0,50"
2024-09-18 01:11:04,Board the Weatherlight,Dominaria,Inglês,NM,Foil,0,"R$ 1,00"
2024-09-18 01:11:20,Weatherlight Compleated,Dominária Unida,Inglês,NM,-,1,"R$ 4,00"
2024-09-18 01:11:20,Weatherlight Compleated,Dominária Unida,Português,NM,"Foil, Pre Release",1,"R$ 9,50"
